Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-APR-2014,21.6225,21.6725,19.5425,20.685,21.6225,-0.94,-4.34
02-APR-2014,20.685,21.295,16.8575,21.2125,20.685,0.53,2.55
03-APR-2014,21.2125,22.3125,17.3075,22.1075,21.2125,0.90,4.22
04-APR-2014,22.1075,22.83,16.6675,22.6875,22.1075,0.58,2.62
07-APR-2014,22.6875,25.49,17.6925,24.9525,22.6875,2.27,9.98
09-APR-2014,24.9525,27.0875,22.3925,26.9125,24.9525,1.96,7.85
10-APR-2014,26.9125,29.71,21.11,28.7175,26.9125,1.80,6.71
11-APR-2014,28.7175,29.48,20.825,29.185,28.7175,0.47,1.63
15-APR-2014,29.185,32.62,22.8725,31.875,29.185,2.69,9.22
16-APR-2014,31.875,32.0775,21.675,31.16,31.875,-0.71,-2.24
17-APR-2014,31.16,31.33,21.645,30.8525,31.16,-0.31,-0.99
21-APR-2014,30.8525,38.0425,30.8525,34.385,30.8525,3.53,11.45
22-APR-2014,34.385,37.23,32.94,33.355,34.385,-1.03,-3.00
23-APR-2014,33.355,34.25,28.07,31.1325,33.355,-2.22,-6.66
25-APR-2014,31.1325,32.98,30.115,30.68,31.1325,-0.45,-1.45
28-APR-2014,30.68,31.925,30.5025,31.385,30.68,0.71,2.30
29-APR-2014,31.385,32.435,30.4925,31.05,31.385,-0.34,-1.07
30-APR-2014,31.05,31.4625,30.025,30.5925,31.05,-0.46,-1.47
02-MAY-2014,30.5925,33.4225,29.1825,33.055,30.5925,2.46,8.05
05-MAY-2014,33.055,35.305,30.9875,34.1875,33.055,1.13,3.43
06-MAY-2014,34.1875,34.3025,31.365,33.2675,34.1875,-0.92,-2.69
07-MAY-2014,33.2675,34.455,30.3125,33.6125,33.2675,0.34,1.04
08-MAY-2014,33.6125,35.01,29.61,34.3,33.6125,0.69,2.05
09-MAY-2014,34.3,38.9575,32.6775,37.705,34.3,3.41,9.93
12-MAY-2014,37.705,39.3,33.815,37.105,37.705,-0.60,-1.59
13-MAY-2014,37.105,37.105,28.245,32.0475,37.105,-5.06,-13.63
14-MAY-2014,32.0475,32.995,28.61,32.42,32.0475,0.37,1.16
15-MAY-2014,32.42,37.48,31.1375,36.765,32.42,4.34,13.40
16-MAY-2014,36.765,36.765,21.7375,24.2925,36.765,-12.47,-33.92
19-MAY-2014,24.2925,24.2925,19.62,20.63,24.2925,-3.66,-15.08
20-MAY-2014,20.63,21.13,16.17,19.2325,20.63,-1.40,-6.77
21-MAY-2014,19.2325,19.2325,14.5575,17.91,19.2325,-1.32,-6.88
22-MAY-2014,17.91,18.6825,14.7575,17.835,17.91,-0.07,-0.42
23-MAY-2014,17.835,18.1025,13.9675,17.705,17.835,-0.13,-0.73
26-MAY-2014,17.705,20.5975,14.59,19.84,17.705,2.14,12.06
27-MAY-2014,19.84,21.415,17.775,19.1,19.84,-0.74,-3.73
28-MAY-2014,19.1,19.5575,17.3375,17.5575,19.1,-1.54,-8.08
29-MAY-2014,17.5575,17.775,16.17,16.69,17.5575,-0.87,-4.94
30-MAY-2014,16.69,16.9475,15.8725,16.335,16.69,-0.36,-2.13
02-JUN-2014,16.335,17.1025,15.7125,16.4975,16.335,0.16,0.99
03-JUN-2014,16.4975,16.895,15.1625,15.795,16.4975,-0.70,-4.26
04-JUN-2014,15.795,15.92,14.4425,15.565,15.795,-0.23,-1.46
05-JUN-2014,15.565,16.0425,14.125,15.4475,15.565,-0.12,-0.75
06-JUN-2014,15.4475,16.455,13.7425,15.9825,15.4475,0.54,3.46
09-JUN-2014,15.9825,17.4225,14.6325,17.095,15.9825,1.11,6.96
10-JUN-2014,17.095,18.125,14.385,16.6625,17.095,-0.43,-2.53
11-JUN-2014,16.6625,17.5,14.0025,17.06,16.6625,0.40,2.39
12-JUN-2014,17.06,17.4825,15.69,16.9025,17.06,-0.16,-0.92
13-JUN-2014,16.9025,17.9625,14.5175,17.7625,16.9025,0.86,5.09
16-JUN-2014,17.7625,18.535,15.255,17.9825,17.7625,0.22,1.24
17-JUN-2014,17.9825,18.4775,16.605,17.695,17.9825,-0.29,-1.60
18-JUN-2014,17.695,19.135,14.55,18.58,17.695,0.88,5.00
19-JUN-2014,18.58,19.375,16.9575,18.7425,18.58,0.16,0.87
