,Folder_name,Feature_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Label,Bankruptcy,path,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
0,ABG Shipyard Limited,2013,0.95,0.4,0.003346260812,2.27,0.7077563728,0.01781715373,18.88,5.227477978,1.052101814,1.052101814,4.59,0.04970180983,0.7077563728,-0.03376348047,0.1938406975,0.1749553962,0.04970180983,0.02371317023,0.02371317023,0.002368337414,0.003346260812,0.2299283717,2.255181474,0.7053880353,4.054455266,0.8536253711,0.8536253711,0.01442130583,0.1888123822,1.081631175,0.8566925216,0.0,3.09,-0.1664356017,-0.00592015773,0.02888270865,0.1396548108,0.1714740844,0.572964781,0.6063295917,0.08944153105,0.0,0.3960720027,0.7895652064,0.7077563728,-5.733951066,0.2080971934,-0.1308434106,4.87651358,0.9965456407,0.6739928923,0.7077563728,-11.65965128,0.55622305,0.8291182487,-0.2306648408,4.835239399,0.1458689983,0.02362212649,0.1794193917,0.287900561,-5.170160988,9.478996914,5.42,2.473521635,5.456388753,1,1,ABGSHIP_2013_MDA.txt.json,-1.2244786519428252,-0.6423569567082882,-0.513047337004226,-1.1095275959699809,0.291551938213657,1.244500599122352,1.4332445674149703,0.8616390651593324,-1.3726688005220666,1.0190988877569769,-0.3177751382767426,0.3109414347280895,1.1929907384720848,1.5165304096107006,-1.2065729147858129,0.4435671922259401,-0.4563474778555787,-1.1328925654294555,-0.3591878951366183,-0.6708736955644207,-0.8679898802961524,-0.968211296352732,-0.2359472962162926,-0.961416028407236,0.4273039613376638,1.7359978122188846,1.5784499270868697,0.5031286213735184,-1.0482056068393653,1.2818800608088363,19.204890438247013,20.043685258964143,18.323994023904383,19.321035856573705,19.295527888446216,0.0254581673306772,0.2654183266932271
4,ANG Industries Limited,2013,1.14,0.51,0.06072517791,1.53,0.5231156492,0.1381798503,51.51,2.239544164,1.092778758,0.9171974522,-8.71,-0.09722968306,0.5231156492,0.07324682692,0.5163085868,-0.06931149401,-0.09722968306,0.03176629086,0.03176629086,0.03176629086,0.06072517791,-0.02819910276,0.7184406415,0.4913493583,1.1322999,0.6737573566,0.6737573566,-0.04226051195,0.5151740764,1.115110122,1.277126398,0.0,-9.41,-0.04030898876,-0.08224584298,-0.07570315147,-0.1213866551,0.4842138497,0.4090246336,0.6680848047,0.1659575977,0.06019785308,0.5055235513,0.8851294464,0.5231156492,-0.9474094273,0.6851715428,0.1863443673,1.389609393,0.4617474462,0.5963624761,0.5231156492,4.531461762,0.6344967808,0.7764154915,0.2245164095,1.60345577,0.1506417074,-0.1098698826,0.5585690988,0.6915198472,6.307357212,9.478996914,5.42,2.473521635,5.456388753,1,1,ANGIND_2013_MDA.txt.json,-1.978852873814088,0.8863000997227866,-2.6851548042736515,-0.2668234853449276,1.3015839327052083,1.0787712138160053,1.780162347196822,1.8536807300089069,-0.9120925617156352,0.3911937372285046,0.6470705071891434,-1.992391280173164,0.041383990575873,1.1855543488128168,-1.1326484829839922,0.6708630630942479,-2.191772299534952,-1.6015381720437345,1.9141897276110555,-0.2440708023050048,-1.477175152755179,-0.4154892249252165,-1.1951012084505963,-1.3362123734921896,0.7617221995822212,0.8712582948974482,1.5862535697088862,1.2032915602051206,-1.503700395414397,1.3505251242029577,19.204890438247013,20.043685258964143,18.323994023904383,19.321035856573705,19.295527888446216,0.0254581673306772,0.2654183266932271
5,ANG Industries Limited,2015,1.08,0.49,0.03786018091,1.72,0.5628687999,0.1512218045,51.31,2.185310409,1.092367456,0.8503704769,-6.53,-0.07150564708,0.5628687999,0.04295781772,0.5148868733,-0.04862258489,-0.07150564708,0.0213103146,0.0213103146,0.0213103146,0.03786018091,-0.06137555259,0.6997338321,0.5415584853,1.20084886,0.7297771184,0.7297771184,-0.03206662845,0.5131672118,1.094813323,1.193913616,0.0,-7.66,-0.02113928219,-0.01002633646,-0.05439405739,-0.113301722,0.3702813843,0.5006834041,0.6720167246,0.2086859763,0.07771565864,0.4936200803,0.8301529363,0.5628687999,-1.217836047,0.6219100864,0.1197368421,1.511473995,0.6176690791,0.6058266177,0.5628687999,7.635007849,0.5826993351,0.7712886384,0.1589717994,2.082979785,0.1669083184,-0.08606127859,0.5469535017,0.6974912193,10.91130298,6.665656719,5.44,6.69517609,7.410227605,1,1,ANGIND_2015_MDA.txt.json,-1.3318141012887834,0.909621912490212,-2.408271343267341,-0.1149272197457307,1.4777102144530352,-1.6313785454414844,-0.3332695701247446,0.5795838124543008,0.1192276906351844,0.5097502629596702,-0.7883141696849002,0.354113171283724,-0.5987509589139942,0.6077835037985436,1.1088066853068843,-0.1181152371065413,-0.978857816987579,-1.1010313882458826,1.1387736686492826,2.8087458041884146,-1.143318457130343,-0.6240309273583053,-0.6375752922036757,-1.0639614348828534,0.6010112207207639,0.2075736336406473,1.1911676438435852,0.5225297567045544,-0.9876427967112088,1.2569722087799828,17.999170040485822,18.787287449392718,16.48557692307692,18.010404858299594,18.001943319838055,0.0086234817813765,0.2422267206477731
6,ANG Industries Limited,2016,0.96,0.41,0.0208,1.77,0.6012827365,0.1477909433,58.66,2.002428363,1.122320128,0.9515021161,-6.3,-0.0720183168,0.6012827365,-0.02608230893,0.5885978977,-0.05672545876,-0.0720183168,0.01250668092,0.01250668092,0.01250668092,0.0208,-0.06387400197,0.6343578714,0.5887760556,1.170818012,0.7514341707,0.7514341707,-0.03705683235,0.586673793,1.14237147,1.121303704,0.0,-9.27,-0.01730959446,0.08260230452,-0.06174814815,-0.1493692661,0.3307885628,0.4469576077,0.6742205594,0.203064315,0.05837166295,0.4148148148,0.7654701503,0.6012827365,-1.238865889,0.7087581203,-0.06723615321,1.438839936,0.6040711009,0.5752004276,0.6012827365,-12.49043716,0.5418074074,0.8001801887,-0.1049311927,2.419008028,0.1501514342,-0.09960703913,0.6256547301,0.7617059507,-19.68989071,4.906973441,5.42,7.556488414,7.996253786,1,1,ANGIND_2016_MDA.txt.json,-0.0149595658796156,-1.082183714828406,-0.0068834700635459,-0.9351848221972028,-0.3062408110361131,-0.794711175733657,-0.0621896218613313,-0.4709572738191154,-0.6472086954539505,0.5663904870682613,-1.2224483938886297,-0.2743215905646068,-0.412044089222479,0.4359905711840341,0.0608436751056238,-0.1218286862504859,-0.968330572894768,0.1790168973844928,-0.2037269271937077,-0.0942243207394237,-1.201948204956087,-0.9741132000337956,-0.2988475201524497,-1.475445847726956,0.4854520973606461,-1.0771927494099005,0.6054398653258726,0.4493352619642806,-1.1569040452343435,1.1647368620384797,15.342439516129032,15.849919354838711,14.075262096774193,15.325655241935484,15.342439516129032,-0.0165725806451612,-0.0246774193548387
7,ANG Industries Limited,2017,0.31,0.17,0.004391357808,-2.81,1.076724247,0.1640163099,56.3,2.834365725,1.158213963,1.072525487,-120.36,-1.387404826,1.076724247,-0.746690203,0.5660698525,-0.7693229101,-1.387404826,0.004728281427,0.004728281427,0.004728281427,0.004391357808,-2.994320664,0.2953929539,1.071995965,2.204026326,1.237674946,1.237674946,-0.7107552642,0.5630437524,1.152535811,0.7947186603,0.0,853.71,-0.03075208914,0.03647106764,-0.6769717197,3.066843501,-0.1920334148,-0.09265711705,0.8556928508,-0.106165679,0.01691116544,0.1724925347,0.2666564792,1.076724247,-1.669186253,0.4549205379,-1.20733945,2.523809524,-0.6771883289,0.3300340436,1.076724247,-0.1932624113,0.1340242403,0.8699572127,3.141644562,-4.530238727,0.1609506998,-0.5602626771,1.276825117,0.5709128417,-0.6542553191,4.948216341,5.36,6.232711415,8.256305502,1,1,ANGIND_2017_MDA.txt.json,-1.016567151513686,-1.5461561894873246,-0.3428243205126504,-1.631800055038836,0.2828200617722227,-0.079837628413191,0.9500572200167277,0.6197357819262488,-1.520149963271214,1.3616452258946166,1.4946990338705346,0.240969449136219,-0.0083823193299097,0.1170808039684542,-0.0017293079916461,1.6676356655651092,1.1296493816001418,0.2587493982785817,0.3162678530618705,-0.4221853955549973,-1.053857266547882,-1.0217037966723834,-0.6111297811230002,-1.4056303128247665,0.769670950023656,-0.1393774957706753,0.8718689973511324,0.9024643082835196,-1.6184099428946777,1.1728337321974538,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
1,Adhunik Metaliks Limited,2015,1.68,0.89,0.02215452522,7.36,0.1823334583,0.04087847343,19.05,5.269978536,1.059875493,1.007543439,-43.63,-0.4307508706,0.1823334583,0.1233039728,0.1934133096,-0.03516042827,-0.4307508706,0.0040395112,0.0040395112,0.0040395112,0.02215452522,-0.1427940668,0.7463195675,0.1782939471,0.9442925465,0.8160930412,0.8160930412,-0.1258387704,0.1905913267,0.9870594836,4.694109103,0.0,-10.17,-0.004655227468,-0.0321348272,-0.9241521108,-0.9162451025,0.2253504803,0.6688367785,0.8558931464,0.1038493154,0.00619095884,0.8859074961,0.374512973,0.1823334583,-0.3253280981,0.2968583729,0.2373334657,4.205569855,3.446088103,0.3056374311,0.1823334583,1.16871217,0.7903478326,0.2234223907,0.6704693154,0.9914440403,0.6337595829,-0.4140384709,0.3192520799,0.2256006044,1.565967476,6.665656719,5.44,6.69517609,7.410227605,1,1,ADHUNIK_2015_MDA.txt.json,-0.0667170503801622,0.1338696623099942,-1.7521865307360422,0.0556593129371026,-0.0893768445134955,-0.3828088825767964,0.1113589263564243,0.1639474171403957,0.07207715504877,-0.1163884378858668,1.2435490119730386,-0.9853805022501264,0.2768854195509255,0.0486972037248428,-0.7637402213312164,0.2982744710691503,-0.6158432884584514,-0.8516515353715925,0.8832713229527426,-0.5702994050759386,-0.5397916682280378,-0.6795244941138615,-1.3569808751062529,-0.4009139196333194,0.8087133249153783,0.3342078832120135,0.5392749046141154,0.4700655505464645,-0.7152685168236178,0.5303378975037446,17.999170040485822,18.787287449392718,16.48557692307692,18.010404858299594,18.001943319838055,0.0086234817813765,0.2422267206477731
2,Adhunik Metaliks Limited,2016,1.19,0.64,0.02435156565,-9.04,0.2892618206,0.0424397167,12.81,8.091816544,1.065030566,1.065030566,-87.83,-0.8549511237,0.2892618206,0.05427595135,0.1333282797,-0.1302747229,-0.8549511237,0.007043978215,0.007043978215,0.007043978215,0.02435156565,-0.02323678812,1.209296831,0.2822178424,2.197513363,1.031651253,1.031651253,-0.1143966164,0.1281327627,0.9734207495,2.906773283,0.0,-5.41,-0.01581953803,-0.01201659488,-0.4476750437,4.09131663,-0.03068018675,0.6078231594,0.840818532,0.05148868182,0.0,0.6373336917,0.332997969,0.2892618206,-2.032154825,0.1505258438,0.09595843313,7.783910694,-23.45529354,0.343537772,0.2892618206,2.932817648,0.5503023787,0.280387214,-1.714812085,-9.139032179,0.7423894325,-0.4842918792,0.2477248961,0.1565515296,2.425225612,4.906973441,5.42,7.556488414,7.996253786,1,1,ADHUNIK_2016_MDA.txt.json,-0.0783176062201212,-0.1244227503365397,-1.3177891652020777,-0.1664110025641225,-0.3580558154470563,-0.2195384482343513,0.4234367397802973,-0.0096798696948487,-0.0288997363331061,0.1750197959628668,0.4681218736971081,-1.7422984094174732,-1.5814667637418909,-0.3673052357045028,0.5705243228636401,0.7362540414347005,-1.213859638521217,0.4248201948702561,1.6149987436923454,0.2394374447624428,-0.668766355224641,-0.0926134285774277,-1.0509081735138597,-0.5444877819664371,0.267956556320936,0.0078639763234205,0.632220415603207,0.6695316505711203,-0.5448238618355339,0.5437986039738268,15.342439516129032,15.849919354838711,14.075262096774193,15.325655241935484,15.342439516129032,-0.0165725806451612,-0.0246774193548387
3,Adhunik Metaliks Limited,2017,0.64,0.33,0.009391570255,-2.27,0.558319995,0.0531823271,28.26,3.976564261,1.050139566,1.050139566,-129.96,-1.28304929,0.558319995,-0.2018859731,0.2921843787,-0.2767094733,-1.28304929,0.005243501458,0.005243501458,0.005243501458,0.009391570255,-0.163659098,0.6100833926,0.5530764936,1.950354548,1.431843166,1.431843166,-0.2146808115,0.2826180284,0.9872570606,1.47828116,0.0,-15.71,-0.003978801737,-0.02798281447,-0.3461813689,0.4475698475,-0.3015994884,0.6969434283,0.8253539301,0.1525826664,0.0,0.3255981404,0.2489337033,0.558319995,-4.340188787,0.1950062132,-0.3503358884,4.983477522,-2.022778729,0.356434022,0.558319995,-0.865072829,0.3128064039,0.3899309702,0.4674983623,-1.292876763,0.8735231714,-0.447178513,0.5068651901,0.3468401699,-1.417958331,4.948216341,5.36,6.232711415,8.256305502,1,1,ADHUNIK_2017_MDA.txt.json,-0.1326209481330332,-0.7251654050405876,-1.54997989012928,-0.0013137411987283,0.3118587231919081,0.1665228679606354,0.0607351973790392,-0.1997416881130073,-0.0407734322312958,0.0509113549350964,0.0337452975994357,0.3461629647881541,0.173353162519163,0.5050599533694106,-0.1786415459135099,0.75258487283852,0.2876208570472246,0.0661918471586661,-0.2814371055522988,-0.3893576232873567,-0.44357916304198,0.0058375110784925,-1.591933873615473,-0.2271704547365648,0.2848037444700924,-0.2016199376046304,0.3617234521897735,0.5402129179719435,-0.400238627104234,0.1532301615696529,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
49,Advanced Enzyme Tech Ltd.,2017,2.19,1.14,0.120594544897333,0.1,0.110797962648556,0.110862873597458,55.85,1.77957338994076,1.1735885232992,1.1735885232992,28.25,0.318211387681035,0.110797962648556,0.13195246179966,0.562937181663837,0.235110356536502,0.318211387681035,0.0133616298811545,0.0133616298811545,0.0133616298811545,0.120594544897333,0.116676401869158,0.234464340740233,0.0974363327674023,0.22343958640052,0.176247877758913,0.176247877758913,0.232682512733446,0.55855687606112,1.12640805286403,7.97609561752988,0.0,26.85,-0.0518131691805,1.03410076100568,2.77597303095311,0.373379500814114,4.67382718427897,0.978121683158146,0.883735144312393,0.463361629881154,0.0,1.14158749616916,1.37732395722955,0.110797962648556,1.44600938967135,2.87698680281283,0.385860391222321,0.328482897935426,0.0794534100043281,0.242750424448217,0.110797962648556,0.881111682964488,1.04934109714986,0.628648492438108,0.160184669923122,0.134504008738844,0.0654499151103565,0.689594900267324,0.33025466893039,0.561111964958118,3.75797735460628,4.948216341,5.36,6.232711415,8.256305502,0,0,KWALITY_2020_MDA.txt.json,-1.6584505816036874,-0.7098765316578927,-2.064905542033591,-1.3491884451221663,0.4693434110837722,-1.957117181844313,1.120913994615096,1.5356949026890248,-1.541428057051413,0.8918471072486526,0.8992517892681033,-0.6886685144220407,-1.1510498980275228,-0.6990242514350103,0.9112588777369484,0.8681017520593254,1.2989285622226014,1.5944795368696316,1.1892220430022309,0.5260651672306224,-1.3737929104946582,-0.8518333242655806,-1.302156257147496,-1.1695332069065678,0.431396745018493,-0.0445207010805074,1.322279140654451,1.1247228114801566,-1.6460489033175691,1.176782584997689,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
50,Advanced Enzyme Tech Ltd.,2019,4.07,2.98,0.332103844516952,0.04,0.0869077414343661,0.0952279414900422,51.73,2.28545820864567,1.23771147521554,1.23771147521554,27.62,0.343397232674587,0.0869077414343661,0.266789135607639,0.52353006448113,0.0979546042979201,0.343397232674587,0.165702942953309,0.165702942953309,0.0288623950486382,0.332103844516952,0.0172951885565671,0.227845100885899,0.0580453463857278,0.208853071020117,0.131033547448495,0.131033547448495,0.199694238617169,0.517316204120381,1.24319279428757,10.4155199319052,5.02,22.39,-0.0911332407717719,1.20972901768912,2.95119875159597,0.295157560193527,6.63163342115167,1.10559687120381,0.905189313146506,0.434020885475101,0.0,2.97886224996453,2.69928490779074,0.0869077414343661,-3.91386083052749,3.49717726759503,0.92281120730095,0.245533465675091,0.0507796427405967,0.353696877042005,0.0869077414343661,0.355376865844077,1.09093488438076,0.663248024087316,0.307018912898511,0.100012769398845,0.0441258060141291,0.590421076677072,0.32383582586396,0.459703891363271,1.55973011691852,3.938826467,5.27,5.36166639,6.453851345,0,0,ADVENZYM_2017_MDA.txt.json,-0.7115550229196663,-0.0196648789175482,-0.3002767406090432,-0.9212321587556084,-0.6701594944813265,-1.309646559302111,0.0864260671258177,-0.4525772354348943,-0.5691128552112369,0.6081359195231958,0.5492607806292087,-1.7904208222862437,-1.7140024780394707,-2.027039805868936,1.3137529152478238,-1.028538523825263,1.2151723817881872,2.3907955096775706,1.816136338716403,1.1017462445613626,-0.5117524725800012,1.5177158304575638,-1.037197341904445,0.2150408106149108,-0.8411676946325864,-3.847741574813381,-1.4157328794243769,-1.0317161261851489,0.6288429247027321,-0.6138052945099662,19.241811740890693,20.33586032388664,17.55514170040486,19.42925101214575,19.241811740890693,0.1876518218623482,0.7085020242914981
