,Folder_name,Feature_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Label,Bankruptcy,path,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
0,ABG Shipyard Limited,2013,0.95,0.4,0.003346260812,2.27,0.7077563728,0.01781715373,18.88,5.227477978,1.052101814,1.052101814,4.59,0.04970180983,0.7077563728,-0.03376348047,0.1938406975,0.1749553962,0.04970180983,0.02371317023,0.02371317023,0.002368337414,0.003346260812,0.2299283717,2.255181474,0.7053880353,4.054455266,0.8536253711,0.8536253711,0.01442130583,0.1888123822,1.081631175,0.8566925216,0.0,3.09,-0.1664356017,-0.00592015773,0.02888270865,0.1396548108,0.1714740844,0.572964781,0.6063295917,0.08944153105,0.0,0.3960720027,0.7895652064,0.7077563728,-5.733951066,0.2080971934,-0.1308434106,4.87651358,0.9965456407,0.6739928923,0.7077563728,-11.65965128,0.55622305,0.8291182487,-0.2306648408,4.835239399,0.1458689983,0.02362212649,0.1794193917,0.287900561,-5.170160988,9.478996914,5.42,2.473521635,5.456388753,1,1,ABGSHIP_2013_MDA.txt.json,-1.5042351819427051,-0.4402236302066718,1.073325960887077,0.3525319099401724,0.5704147787256554,0.9414404427342457,1.9677284723774349,1.227561784712318,-0.6374199809039203,-0.4300823549795373,-1.0087747544997314,-0.6387647589218952,-0.8261316187599274,-0.7658127857327405,0.0528753172144032,-0.2552034331712108,-0.5467181779920918,0.6162613307331753,-1.4283487365377725,0.7313456841148296,-0.580715894867196,-1.3157030357131885,0.7401650483518851,0.4049242425577839,0.6559046436608148,0.611138503855434,-1.6060869370872597,-0.6773363293627815,1.3013957422645424,-0.1751873388175405,19.204890438247013,20.043685258964143,18.323994023904383,19.321035856573705,19.295527888446216,0.0254581673306772,0.2654183266932271
4,ANG Industries Limited,2013,1.14,0.51,0.06072517791,1.53,0.5231156492,0.1381798503,51.51,2.239544164,1.092778758,0.9171974522,-8.71,-0.09722968306,0.5231156492,0.07324682692,0.5163085868,-0.06931149401,-0.09722968306,0.03176629086,0.03176629086,0.03176629086,0.06072517791,-0.02819910276,0.7184406415,0.4913493583,1.1322999,0.6737573566,0.6737573566,-0.04226051195,0.5151740764,1.115110122,1.277126398,0.0,-9.41,-0.04030898876,-0.08224584298,-0.07570315147,-0.1213866551,0.4842138497,0.4090246336,0.6680848047,0.1659575977,0.06019785308,0.5055235513,0.8851294464,0.5231156492,-0.9474094273,0.6851715428,0.1863443673,1.389609393,0.4617474462,0.5963624761,0.5231156492,4.531461762,0.6344967808,0.7764154915,0.2245164095,1.60345577,0.1506417074,-0.1098698826,0.5585690988,0.6915198472,6.307357212,9.478996914,5.42,2.473521635,5.456388753,1,1,ANGIND_2013_MDA.txt.json,-0.8399371829864727,-0.1967703112172137,0.546649832200666,-1.107514363288178,-0.2655640229605332,1.366529245682729,-2.791094961634098,-1.9943907056186,0.3033313222892249,-1.3328414433639546,-0.1087631543787718,-1.320225895494163,-0.8854567136140437,1.0435800119239802,0.2579958641618403,-1.7408984598592891,1.5022100157041038,0.5474498239361059,-0.1270638835877475,0.3385107925356238,-0.0936872411379411,-0.1081511415649701,-0.3263072267678761,-0.8098328260312057,-0.1054784315841185,0.5613905115510351,-1.7595917546007795,-1.4989245067722128,0.1215977115855771,-0.8041495137516228,19.204890438247013,20.043685258964143,18.323994023904383,19.321035856573705,19.295527888446216,0.0254581673306772,0.2654183266932271
5,ANG Industries Limited,2015,1.08,0.49,0.03786018091,1.72,0.5628687999,0.1512218045,51.31,2.185310409,1.092367456,0.8503704769,-6.53,-0.07150564708,0.5628687999,0.04295781772,0.5148868733,-0.04862258489,-0.07150564708,0.0213103146,0.0213103146,0.0213103146,0.03786018091,-0.06137555259,0.6997338321,0.5415584853,1.20084886,0.7297771184,0.7297771184,-0.03206662845,0.5131672118,1.094813323,1.193913616,0.0,-7.66,-0.02113928219,-0.01002633646,-0.05439405739,-0.113301722,0.3702813843,0.5006834041,0.6720167246,0.2086859763,0.07771565864,0.4936200803,0.8301529363,0.5628687999,-1.217836047,0.6219100864,0.1197368421,1.511473995,0.6176690791,0.6058266177,0.5628687999,7.635007849,0.5826993351,0.7712886384,0.1589717994,2.082979785,0.1669083184,-0.08606127859,0.5469535017,0.6974912193,10.91130298,6.665656719,5.44,6.69517609,7.410227605,1,1,ANGIND_2015_MDA.txt.json,-2.3796611062526924,-1.18474437206493,0.5454473769743565,-1.0222291631691391,-0.0038692168996746,0.7714160068263672,0.5847117737965088,-1.4416150502798846,-0.5195365566670628,-0.3118497173945397,1.3265025765910443,0.2935122065906968,-0.9097835223476392,0.9508868462509732,0.1479076501895422,0.615688995699304,1.795257633544777,1.613797472192917,-0.5796943008176245,0.381756439850378,-1.015441432069757,-0.6684511997451271,-1.0194283469138177,-0.4222868513163741,0.0158417012939498,0.0593404891623448,-0.302986306725176,-0.3057865918790352,-0.0250480818198535,-0.038433084459358,17.999170040485822,18.787287449392718,16.48557692307692,18.010404858299594,18.001943319838055,0.0086234817813765,0.2422267206477731
6,ANG Industries Limited,2016,0.96,0.41,0.0208,1.77,0.6012827365,0.1477909433,58.66,2.002428363,1.122320128,0.9515021161,-6.3,-0.0720183168,0.6012827365,-0.02608230893,0.5885978977,-0.05672545876,-0.0720183168,0.01250668092,0.01250668092,0.01250668092,0.0208,-0.06387400197,0.6343578714,0.5887760556,1.170818012,0.7514341707,0.7514341707,-0.03705683235,0.586673793,1.14237147,1.121303704,0.0,-9.27,-0.01730959446,0.08260230452,-0.06174814815,-0.1493692661,0.3307885628,0.4469576077,0.6742205594,0.203064315,0.05837166295,0.4148148148,0.7654701503,0.6012827365,-1.238865889,0.7087581203,-0.06723615321,1.438839936,0.6040711009,0.5752004276,0.6012827365,-12.49043716,0.5418074074,0.8001801887,-0.1049311927,2.419008028,0.1501514342,-0.09960703913,0.6256547301,0.7617059507,-19.68989071,4.906973441,5.42,7.556488414,7.996253786,1,1,ANGIND_2016_MDA.txt.json,1.6459178480210412,2.200105497206817,-0.0346849456488484,-2.238755846601981,-1.1390106336726364,0.172439149735249,0.3777029798091648,-1.3783948367471346,0.9652046977806258,0.1817164156508003,-0.6612211956725274,0.8400104357255622,-1.2618350080402283,-0.501487803153986,-1.144491766914674,0.8057649707686912,0.8189661465991894,0.8871837562993286,-0.2384075545089304,1.3821845578361591,0.0599105722004678,1.6934288329317098,0.7864124911407726,-1.4538054708111474,0.0130966395932691,0.0120124069198158,0.0112159585700845,0.1392833512992682,0.3887351172067906,0.176695138422836,15.342439516129032,15.849919354838711,14.075262096774193,15.325655241935484,15.342439516129032,-0.0165725806451612,-0.0246774193548387
7,ANG Industries Limited,2017,0.31,0.17,0.004391357808,-2.81,1.076724247,0.1640163099,56.3,2.834365725,1.158213963,1.072525487,-120.36,-1.387404826,1.076724247,-0.746690203,0.5660698525,-0.7693229101,-1.387404826,0.004728281427,0.004728281427,0.004728281427,0.004391357808,-2.994320664,0.2953929539,1.071995965,2.204026326,1.237674946,1.237674946,-0.7107552642,0.5630437524,1.152535811,0.7947186603,0.0,853.71,-0.03075208914,0.03647106764,-0.6769717197,3.066843501,-0.1920334148,-0.09265711705,0.8556928508,-0.106165679,0.01691116544,0.1724925347,0.2666564792,1.076724247,-1.669186253,0.4549205379,-1.20733945,2.523809524,-0.6771883289,0.3300340436,1.076724247,-0.1932624113,0.1340242403,0.8699572127,3.141644562,-4.530238727,0.1609506998,-0.5602626771,1.276825117,0.5709128417,-0.6542553191,4.948216341,5.36,6.232711415,8.256305502,1,1,ANGIND_2017_MDA.txt.json,0.5631074551832472,1.2535053706859016,0.280274124414578,-1.1660269766383062,-1.2266151015613955,0.1944350632740708,-0.0035265662739831,-0.323582354236241,0.8946534239920699,-0.0695676617221504,0.7601313198994094,-1.7471192935273234,1.84361591360636,0.9541598504796488,2.0027918504918705,-1.3473327833697355,-0.5422124300325912,-2.0547375143063418,0.9117948610275582,-1.6727666620483208,0.7467010416384773,0.629934504299424,0.1953564796980863,-0.5560421611823085,-0.8530641965387677,-0.0642204818609633,0.0338679335591945,-0.4445870774036923,0.4211849529280756,0.270278764148314,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
1,Adhunik Metaliks Limited,2015,1.68,0.89,0.02215452522,7.36,0.1823334583,0.04087847343,19.05,5.269978536,1.059875493,1.007543439,-43.63,-0.4307508706,0.1823334583,0.1233039728,0.1934133096,-0.03516042827,-0.4307508706,0.0040395112,0.0040395112,0.0040395112,0.02215452522,-0.1427940668,0.7463195675,0.1782939471,0.9442925465,0.8160930412,0.8160930412,-0.1258387704,0.1905913267,0.9870594836,4.694109103,0.0,-10.17,-0.004655227468,-0.0321348272,-0.9241521108,-0.9162451025,0.2253504803,0.6688367785,0.8558931464,0.1038493154,0.00619095884,0.8859074961,0.374512973,0.1823334583,-0.3253280981,0.2968583729,0.2373334657,4.205569855,3.446088103,0.3056374311,0.1823334583,1.16871217,0.7903478326,0.2234223907,0.6704693154,0.9914440403,0.6337595829,-0.4140384709,0.3192520799,0.2256006044,1.565967476,6.665656719,5.44,6.69517609,7.410227605,1,1,ADHUNIK_2015_MDA.txt.json,0.1681983114023657,-1.987167310586498,-0.2168624961342042,0.3875426792866638,-0.9359185540425992,-1.0463805825148815,-1.1432329106753327,0.8927943657187625,0.4615155661345432,-0.5685355186495257,0.1051838163036751,-1.0973253013225124,0.6277087019203046,0.7168972983580684,0.7739869251384912,-1.394265401813837,0.1186663716973811,-0.535035683120875,0.4524683384948496,-0.7356407503338098,-0.0853827000163207,-0.7046990959240893,-0.5197994984973667,0.3756379648877327,-0.3949709435922049,-0.6769878281767577,-0.2120329120541872,0.5424226328888709,0.4593757152470269,-0.1993595320066675,17.999170040485822,18.787287449392718,16.48557692307692,18.010404858299594,18.001943319838055,0.0086234817813765,0.2422267206477731
2,Adhunik Metaliks Limited,2016,1.19,0.64,0.02435156565,-9.04,0.2892618206,0.0424397167,12.81,8.091816544,1.065030566,1.065030566,-87.83,-0.8549511237,0.2892618206,0.05427595135,0.1333282797,-0.1302747229,-0.8549511237,0.007043978215,0.007043978215,0.007043978215,0.02435156565,-0.02323678812,1.209296831,0.2822178424,2.197513363,1.031651253,1.031651253,-0.1143966164,0.1281327627,0.9734207495,2.906773283,0.0,-5.41,-0.01581953803,-0.01201659488,-0.4476750437,4.09131663,-0.03068018675,0.6078231594,0.840818532,0.05148868182,0.0,0.6373336917,0.332997969,0.2892618206,-2.032154825,0.1505258438,0.09595843313,7.783910694,-23.45529354,0.343537772,0.2892618206,2.932817648,0.5503023787,0.280387214,-1.714812085,-9.139032179,0.7423894325,-0.4842918792,0.2477248961,0.1565515296,2.425225612,4.906973441,5.42,7.556488414,7.996253786,1,1,ADHUNIK_2016_MDA.txt.json,0.3748035511118328,-2.001467270092899,0.5911213729839178,0.845535135436019,-0.3743947123453209,-0.625411854099065,-1.0284289034017908,0.7364472014883952,0.747783676484472,-0.5614245089044876,0.8016527162954158,-0.3738538437051535,0.1428011420654915,1.5420063312834085,0.1582149161259896,-0.8718179066088467,1.9850618722420708,-0.5805731566752781,1.6744637861032727,-0.2083578087160558,-0.3964335819213397,-1.3544370605964586,-0.1991384672027726,0.068387309135446,0.7144573087637087,-1.338286659689805,-0.8839373210883077,0.3754284022828809,0.0483953174142632,0.0884654231231623,15.342439516129032,15.849919354838711,14.075262096774193,15.325655241935484,15.342439516129032,-0.0165725806451612,-0.0246774193548387
3,Adhunik Metaliks Limited,2017,0.64,0.33,0.009391570255,-2.27,0.558319995,0.0531823271,28.26,3.976564261,1.050139566,1.050139566,-129.96,-1.28304929,0.558319995,-0.2018859731,0.2921843787,-0.2767094733,-1.28304929,0.005243501458,0.005243501458,0.005243501458,0.009391570255,-0.163659098,0.6100833926,0.5530764936,1.950354548,1.431843166,1.431843166,-0.2146808115,0.2826180284,0.9872570606,1.47828116,0.0,-15.71,-0.003978801737,-0.02798281447,-0.3461813689,0.4475698475,-0.3015994884,0.6969434283,0.8253539301,0.1525826664,0.0,0.3255981404,0.2489337033,0.558319995,-4.340188787,0.1950062132,-0.3503358884,4.983477522,-2.022778729,0.356434022,0.558319995,-0.865072829,0.3128064039,0.3899309702,0.4674983623,-1.292876763,0.8735231714,-0.447178513,0.5068651901,0.3468401699,-1.417958331,4.948216341,5.36,6.232711415,8.256305502,1,1,ADHUNIK_2017_MDA.txt.json,-0.1338379074942194,-0.9053165182640394,-0.6823860962026527,0.2743177162963293,-1.2007440112000232,-0.8206823395174712,-0.1519524104027968,0.992156771898042,1.0252686664303716,-0.1513081247720907,-0.1849914567867744,-0.4844860500551604,0.2266006123683602,-0.112167825824134,0.4504757051856456,-0.1526177379833931,-0.277791939706014,-0.4843965020472497,-0.0705151657855034,-0.0599748909146674,0.6216751583989795,-1.2851061938812094,-0.5488167768691302,0.8076122199762767,-1.5845959784965462,-0.9572780676490402,0.6360893753811631,0.972780565925732,0.6225637029025038,-0.8770005413176499,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
49,Advanced Enzyme Tech Ltd.,2017,2.19,1.14,0.120594544897333,0.1,0.110797962648556,0.110862873597458,55.85,1.77957338994076,1.1735885232992,1.1735885232992,28.25,0.318211387681035,0.110797962648556,0.13195246179966,0.562937181663837,0.235110356536502,0.318211387681035,0.0133616298811545,0.0133616298811545,0.0133616298811545,0.120594544897333,0.116676401869158,0.234464340740233,0.0974363327674023,0.22343958640052,0.176247877758913,0.176247877758913,0.232682512733446,0.55855687606112,1.12640805286403,7.97609561752988,0.0,26.85,-0.0518131691805,1.03410076100568,2.77597303095311,0.373379500814114,4.67382718427897,0.978121683158146,0.883735144312393,0.463361629881154,0.0,1.14158749616916,1.37732395722955,0.110797962648556,1.44600938967135,2.87698680281283,0.385860391222321,0.328482897935426,0.0794534100043281,0.242750424448217,0.110797962648556,0.881111682964488,1.04934109714986,0.628648492438108,0.160184669923122,0.134504008738844,0.0654499151103565,0.689594900267324,0.33025466893039,0.561111964958118,3.75797735460628,4.948216341,5.36,6.232711415,8.256305502,0,0,KWALITY_2020_MDA.txt.json,2.159710704229965,2.1407343472922977,1.1430486176851231,0.4926618948322357,1.0690147275934083,0.3391540304282187,1.133832626288937,-0.5449661479214402,2.3282607224101826,1.1790334685851585,1.3941145251587437,-0.7581815291317381,0.688076619108106,1.3555170808392596,0.6762255954676301,-1.0439599315770842,0.3334182883535697,-1.3428056523962826,0.9819528366659034,-1.2285707591821666,0.2628284422368268,-0.3207239499910931,0.7055252573858285,-0.733453051090025,0.5681646332255916,-0.2164372973383095,0.3171860544763999,-0.0089268567621977,0.3537802318166244,0.9823666549233656,12.948231707317074,13.48890243902439,11.567489837398371,12.961798780487804,12.948231707317074,0.0137398373983739,0.1970325203252032
50,Advanced Enzyme Tech Ltd.,2019,4.07,2.98,0.332103844516952,0.04,0.0869077414343661,0.0952279414900422,51.73,2.28545820864567,1.23771147521554,1.23771147521554,27.62,0.343397232674587,0.0869077414343661,0.266789135607639,0.52353006448113,0.0979546042979201,0.343397232674587,0.165702942953309,0.165702942953309,0.0288623950486382,0.332103844516952,0.0172951885565671,0.227845100885899,0.0580453463857278,0.208853071020117,0.131033547448495,0.131033547448495,0.199694238617169,0.517316204120381,1.24319279428757,10.4155199319052,5.02,22.39,-0.0911332407717719,1.20972901768912,2.95119875159597,0.295157560193527,6.63163342115167,1.10559687120381,0.905189313146506,0.434020885475101,0.0,2.97886224996453,2.69928490779074,0.0869077414343661,-3.91386083052749,3.49717726759503,0.92281120730095,0.245533465675091,0.0507796427405967,0.353696877042005,0.0869077414343661,0.355376865844077,1.09093488438076,0.663248024087316,0.307018912898511,0.100012769398845,0.0441258060141291,0.590421076677072,0.32383582586396,0.459703891363271,1.55973011691852,3.938826467,5.27,5.36166639,6.453851345,0,0,ADVENZYM_2017_MDA.txt.json,0.5532773945683398,-0.8175987957054941,-0.0362616335404806,0.0946524284661835,1.642909207650884,0.3168969019469714,0.0809724047093579,1.024723572974312,-0.1280877908770566,-0.8190632430668161,1.6114164797964434,0.6270819815040175,-0.4377297076994952,1.3261299017524328,-1.076956761359892,-0.688739581138528,0.6778981575750908,-0.1856885899022777,0.846848626395302,-0.7880647899792667,-0.7778427118898493,-0.3038378535641672,0.778793012389234,-0.8665327782692932,1.9118968245392536,-0.0918458611862819,-0.1221053180274759,-0.0608427041182816,-0.8007184318958873,-0.7410488010918422,19.241811740890693,20.33586032388664,17.55514170040486,19.42925101214575,19.241811740890693,0.1876518218623482,0.7085020242914981
